year,snow_mean,snow_std,pop_mean,pop_std
2000,0.4488498545656902,0.27617765052240467,4.008862377667789,2.803487908555872
2001,0.4049744218323424,0.2724830417368115,3.828434245398692,2.7775628099784724
2002,0.36142482613454385,0.270830787996323,3.592249327559218,2.764028233032752
2003,0.3260105672116589,0.27034511957451046,3.319636629208089,2.7588030996941764
2004,0.3061872313361318,0.2702881720024166,3.0484130152038826,2.7575615286353212
2005,0.30741290446019387,0.27028669049264703,2.8294172745596518,2.757488319193749
2006,0.3319229066703471,0.2702585361236122,2.715626386120804,2.7574858252662033
2007,0.37820023616389303,0.2702314974250699,2.7488811921109013,2.7574312763989677
2008,0.44119238935333055,0.2702250333274925,2.94831991881977,2.757422205397186
2009,0.5131463421183982,0.2702294495617216,3.3040543331895598,2.7574611615805447
2010,0.5848574710484469,0.27022963352943674,3.7777800129879435,2.757491266497269
2011,0.647131882205387,0.2702259464930728,4.309821243709705,2.757532196435023
2012,0.6922767743827547,0.27024127845933976,4.830505282417987,2.7577588790929872
2013,0.715409331210284,0.2703151688941666,5.273161731722074,2.7584594701461445
2014,0.715323282326529,0.2704820257368187,5.58623787130618,2.7598669908640567
2015,0.694644106935081,0.2707411686056561,5.742481674032244,2.76195828021266
2016,0.6591149966476869,0.27104604419097345,5.743527461712536,2.7644041231647174
2017,0.6161014734017949,0.2713340360260889,5.618650006382712,2.766781222554981
2018,0.5727029626849873,0.2715793288471336,5.417350002368116,2.7689222044221364
2019,0.5340663934580409,0.2718220185172806,5.197001747321433,2.7711299284746302
2020,0.5024748502081295,0.2721510086880316,5.008615932876794,2.774127093928847
2021,0.4775013808643301,0.27267850755907747,4.884901857866906,2.7789173148843664
2022,0.45708447569186006,0.2735668505995027,4.8343848285443825,2.786818313418062
2023,0.4390036302156794,0.2751065338890426,4.84323494523657,2.7996188696818627
2024,0.42210061751551786,0.2777479529482827,4.883558457456591,2.819433024391204
2025,0.40676729416174584,0.281974011019228,4.9245796499984005,2.8479021372006925
2026,0.3946021441620833,0.2880251212503067,4.9424841676383116,2.8850165647054347
